Orichalcum,Valkyrium,Space Titanium,Seastone,Bonnevillium
0.158233568,1.894984529,0.868743234,0.886790268,-0.328839142
1.412130582,2.271918989,0.836450144,0.757618367,-1.434801409
0.893510298,-0.21047498,1.485847242,1.805522169,-1.938064509
-1.183612841,-0.09531018,0.344554109,0.319168539,-0.05682628
-0.100142253,0.95287986,0.187160127,-0.052492166,0.936923541
-1.481727148,0.243552678,1.021608049,0.99183305,0.955445326
0.107386375,-0.332415568,0.71417708,1.068634378,0.883298223
2.226864482,-0.483575898,0.195412478,0.549587753,0.50167555
0.73599046,-1.119259025,0.722655669,0.66076132,-0.360935633
-0.4104043,-0.279888001,-0.607489586,-0.392578364,-1.026249692
0.347572387,-0.412986744,-0.295469642,-0.448714588,0.806454768
-0.321534585,0.646882137,0.824743525,0.934896473,-0.417172419
0.067636523,-0.113179699,0.535051811,0.151398997,-0.708262203
0.130651801,-0.250002582,0.911815151,0.868508406,-0.925143665
1.194916053,1.980798161,0.527892912,1.056566574,0.039930299
0.391010024,1.527644395,0.604842527,0.559176366,-0.174257593
1.082021691,0.122556452,-1.700013344,-1.723510146,1.259963615
1.714622097,-1.472328965,-1.42431648,-1.41816806,-0.733808942
1.161096044,-1.010779156,-1.495319787,-1.405856776,-0.59702519
2.139114002,0.278597409,-1.059191853,-0.856312272,-2.314383022
-0.95589097,0.60865413,0.155548796,0.444972578,-0.361821146
1.203741902,-0.724394996,0.721135897,1.119871858,0.319228798
0.879076104,-0.200264544,0.225926586,-0.149554862,-1.564445587
0.728877863,0.790935932,-0.228968213,-0.886047886,0.857839749
0.028553644,-0.227696525,-1.002722108,-1.326903901,-1.717341002
-0.762047748,0.422887113,-0.24615488,-0.239279818,-0.880334146
0.316407214,-0.769705921,0.81796563,1.321133239,1.29360475
-0.586035315,0.809131863,-0.973654887,-0.670282683,-0.690659571
0.455908025,-1.289639399,0.300248904,-0.096333824,-1.675055278
-0.602088179,-0.925422277,1.592064827,1.713398579,0.227980343
-1.515471678,0.382708771,0.607461424,0.282827339,-0.052634806
0.029039278,-1.198325751,-0.505833454,-0.426741907,-0.823539327
0.162488286,-0.685781664,-0.010834137,0.797134709,2.151764851
1.01976343,-0.38386166,-0.34989942,-0.078948636,0.12992573
0.481637722,-1.049174702,-1.654033062,-2.160392152,0.057548049
0.175743803,-0.257096214,0.044138408,-0.152636343,0.256187035
-2.415496389,-0.349475759,-1.849816126,-1.976562451,0.376585979
0.098589974,0.530396685,-0.958117081,-0.852622904,-0.74996256
-0.364070352,0.827650307,0.987314526,0.496679317,1.900329295
1.296033487,-0.245956215,-1.760313806,-2.04292573,0.165580035
1.743167317,0.220105234,1.972421543,2.003393402,-1.255258752
-1.422515294,1.204116574,0.369452801,0.318292603,-0.411956155
-0.736755645,-1.043876988,1.520440826,1.997549163,-0.735983473
-0.406125801,0.448912958,0.414622246,-0.25324581,-0.236745023
0.552894589,1.633523761,-0.544165629,-0.066714482,0.74191944
1.082645446,-0.57269772,-0.249336346,-0.3241554,0.481333654
0.109395767,-0.144934444,-0.887635792,-0.435214968,-0.383551728
-1.609633543,-0.181331407,1.053040232,0.772674248,-0.118405957
-0.076896908,0.267760542,1.411510392,1.716335868,0.378179208
0.092204497,0.193739224,0.558569617,0.323036521,1.145730652
-0.788055114,2.069895672,-0.523037187,-0.960088915,-0.779416941
2.595417307,0.36565404,0.396075045,0.702123732,-0.547800385
1.584611751,0.312248216,-0.334739449,-0.33012073,0.840781868
0.388174345,-1.195395688,-0.058722359,-0.203565691,-0.638391597
0.098551651,-0.675047662,-0.903744711,-0.748505663,0.342661249
-0.17168103,0.359048294,0.644644797,0.979838425,-0.774852583
0.226993301,-0.524200944,-0.572487545,-0.769306442,0.423038429
1.491481808,-1.903546048,-0.736179449,-0.61182373,-1.523977443
-0.293149765,-0.874086929,-0.860920083,-1.004459698,0.322163239
-0.927349326,-1.074664562,-0.198628037,0.281781578,-1.169315299
-1.268128303,-1.214621898,-0.494717248,-0.415707047,0.507007981
-0.823769117,0.96388026,0.963134329,1.261763939,0.696980307
0.138457335,1.603214176,-0.598302221,-0.07476911,-0.268966422
-1.074357959,-0.457127679,0.833471329,0.648252188,-0.81782233
0.139210452,0.50675321,-0.219425446,-0.247710405,-0.405803654
-0.070970342,-1.74680554,-0.308015698,0.2188315,0.196403908
-0.382517757,-0.162631897,0.851594696,0.782003078,-0.200189502
0.452522365,-0.488465534,-0.087147414,-0.791780402,-1.096910306
0.46421146,1.728256938,-0.371783106,-0.75072584,-0.43164746
-0.789009768,0.421148402,0.423926111,0.865907624,-0.705335788
0.572195126,0.565683164,-0.210656169,-0.138437879,1.610310009
-0.162332586,-0.013816772,-0.241023475,-0.278501141,-1.017617174
0.992066521,-1.2155633,-0.14964232,-0.091524019,0.451027994
-0.981117173,-0.007495088,-0.52579227,-0.669418855,0.279930372
0.750788462,0.843244217,1.545214501,0.859983309,0.965936768
-0.222333754,-0.407852906,0.602154203,0.64041898,0.697032527
0.624824965,-0.192400249,0.478992062,0.874306337,0.55283036
-1.022830134,-0.506785825,0.464566487,0.232996989,1.62568942
1.061791489,1.215512314,0.977542282,1.489300423,-0.107219916
0.522764294,0.958151613,0.033409959,-0.385482769,-0.78131352
1.056032081,-1.070001029,-0.380072346,-0.023420744,-0.692700323
0.446612854,-0.996602667,-0.739508096,-1.064386868,-1.348322774
0.349367428,0.405411558,1.044153638,1.016787887,-0.330268511
-0.69889951,-0.017173811,1.287491512,0.669387265,0.179227302
0.857001377,-1.171958751,0.479410047,0.617577849,-1.437246776
0.169795289,0.330315698,0.362859888,0.552381418,-1.554894956
-1.125683738,-0.538766627,0.467750494,0.769189916,-0.864200004
-1.602169899,0.768433859,-0.681388177,-0.459339717,-0.867243513
1.098547607,-1.261812996,1.508845286,0.887628066,-1.113770643
1.437024887,-1.408456217,0.840881705,0.714133201,0.029899534
-1.658389991,-0.055750517,0.330707856,0.149413363,-1.372464347
0.252761284,-0.750409425,0.132175465,-0.100928625,-0.408190492
-0.052494062,1.302423879,-1.40486578,-1.035646947,-1.158094474
0.998599733,1.866413012,0.301982931,0.601923932,-1.340553646
2.147017175,1.881756585,-0.934040479,-0.710578762,0.000717349
0.637220746,0.410894831,0.195921631,-0.577988291,-0.304512161
0.486549437,1.01263193,-1.539286104,-0.909509483,-0.976570189
-0.057295379,-0.457886906,1.759050167,1.772449938,-1.077036019
2.251119826,-0.778299166,0.879738145,0.764558316,-0.666476563
1.245617605,1.169742001,-0.351812402,-0.052361179,0.940342907
