Harbenite,Atium,Eridium,Arsonium,Scrith
-0.902102311,-0.607738408,-0.548125931,0.155250524,-0.529369408
-1.039545062,-2.18570631,-1.140246409,-0.689985143,-0.642954229
0.337036438,1.141922147,-0.462043797,0.707380137,-0.031128
0.561663582,1.665056265,1.080132872,-1.297851548,0.804368797
0.449854526,0.300952788,0.685668152,0.393171264,0.892999398
1.253101016,-0.239921331,1.009192437,0.388066127,1.07252113
1.062570624,-0.485471352,1.406001691,2.003505808,1.252587645
0.379333148,1.029427898,0.506822153,0.050904633,0.746357318
0.390358141,0.346867311,0.672022413,-1.081941671,0.287565311
0.29921785,0.748567499,0.495154817,-0.988125803,0.546955093
0.356563667,0.468000592,0.703406482,1.729275885,0.856388742
1.979360923,0.837657527,1.844506275,-1.853701867,1.658788255
-0.60157533,-0.973806851,-0.043964915,-0.061881805,-0.444329514
1.556966964,-0.042255857,1.043405388,0.714994762,1.229986959
-0.578230827,-2.000553678,-1.023964745,-1.609979144,-0.747422516
0.141602105,0.973769126,0.632282549,0.429424382,0.150662984
-0.468482239,1.180701427,-0.561609187,1.087034119,-0.743177815
-1.336032822,0.700836708,-0.297905548,0.095800711,-0.631390971
-0.983690156,1.326787144,0.144437095,-0.018506272,-0.350118896
1.159789783,0.697061192,0.786568322,-1.85891959,1.241468031
-1.651265214,-1.965035433,-1.253706633,-1.264949252,-1.559292872
-0.156859961,-0.628745102,0.270516132,-0.424278641,0.45129996
-1.452504621,0.412193512,-0.871667857,-1.19423268,-1.272124444
0.637156819,-0.419856422,0.283003821,-1.120200489,0.55652332
-1.52175976,0.504887759,-1.776155143,-1.429864412,-1.773812282
-0.115321225,1.311213705,-0.10901294,1.668793901,0.033877063
0.993431101,-1.199032563,0.938032649,-0.62352876,0.832337299
-0.172785657,1.418037771,0.087458725,0.94856799,-0.322303091
-1.449360071,0.247076689,-1.361767637,-0.105860648,-1.798226796
1.513725842,0.344394293,1.674271254,-0.590045848,1.996738161
0.244795731,0.744066987,0.186846182,3.170194728,0.433448438
-0.785667674,0.35700641,-0.581221703,-1.679414097,-0.853566726
0.018634394,0.688164015,-0.330791263,-0.495368603,-0.154530605
0.041863673,0.159339703,-0.261211886,0.341811921,-0.200148414
0.260013913,0.582763686,0.712408562,-1.723682826,0.244791875
-0.538963213,-0.145525124,0.525410778,0.156058417,0.386197008
-0.732785043,0.820703115,-0.786394201,-1.63696339,-0.704585517
1.5584819,-1.018120097,1.218168035,0.075374395,1.459688319
-1.056436002,0.847666371,-1.314448609,-1.501237716,-1.414578555
-3.24943004,-0.430535517,-2.886994493,-0.564672621,-3.081011266
1.810334603,-0.838980872,2.036450019,-0.718611363,1.640694963
-0.322563172,0.164263914,-0.157453224,0.504668789,-0.2989482
0.38858711,0.277462731,0.787035856,0.841819231,0.662747684
-0.416714872,-1.411653446,-0.195148373,0.753789929,-0.077426983
-0.616112981,-1.160420495,-1.06345102,0.862344425,-0.603350419
0.526817639,0.220415974,1.118935452,0.240766013,0.684222444
-0.711973954,-0.035389274,-0.389652536,0.640821134,-0.295086827
1.148115138,0.197041757,0.674897989,-0.159510518,0.703395904
0.276151603,1.615589448,-0.410867431,-0.695372976,0.29199003
1.198641979,1.922987982,0.772288117,0.634447381,1.026553803
-0.536738756,-1.060145921,-0.08654417,0.177756309,-0.373139965
1.323666825,-0.920060419,0.656539936,-1.01749678,0.63917133
0.988946934,-0.077971124,1.03345918,1.109182543,0.998435311
0.053587675,0.321595526,-0.305553263,2.346323037,-0.125079732
0.848074525,0.209384989,1.235345543,-1.248091851,1.286773371
1.591277425,-0.766731176,1.650261078,1.229846842,1.559230371
0.000381134,0.856895858,0.319310766,-0.535613476,-0.125060623
-0.872410984,1.347035078,-0.784911368,0.855022806,-0.813926946
0.448388539,-0.427684159,0.616357306,0.044907364,0.43579695
-2.275277108,2.558202857,-1.278026555,-2.288370666,-1.783419251
-0.587007209,0.956079245,0.31656312,-1.156369471,-0.287427108
0.588766188,0.20471216,0.823754676,1.531080288,0.996120736
-1.157954336,0.047360422,-0.882994404,-0.948605597,-0.54996048
-0.049106677,1.719528105,0.05167203,1.091318491,-0.250639768
-0.21158596,0.11484074,-0.305067896,-0.044729887,-0.843512212
0.874581337,-1.663709918,-0.127057473,1.832123533,0.186281546
-0.512878144,-0.117827786,-0.275228573,1.47250979,-0.669789376
-2.362290366,-1.427603462,-1.728988172,0.293345044,-2.117201702
-0.095987364,1.456028574,-0.202940608,-1.228503129,-0.259739505
0.382491921,0.197102945,1.083739523,0.596900648,0.376622586
0.935459317,-1.327445863,0.353419735,-1.031276809,0.349165838
-0.453913801,-1.528147779,-0.333802179,0.868512441,-0.260697198
-0.009625245,-2.097754,-0.682887399,0.859851234,-0.305825306
-1.191868538,-0.004035942,-0.892329395,-0.428820932,-1.60887663
0.203322166,-0.483658424,0.086744649,-0.538304107,0.423022561
0.128121156,-1.443518055,0.118531376,-0.310595005,0.411554306
-0.612078138,-1.556792551,-1.08332709,0.162145809,-1.146521204
-0.345706965,0.340392313,0.423490526,-1.119878997,0.275861117
