Avatar,Saronite,Caterium,Galine,Nanite
1.107867643,-0.037774872,0.692052283,-1.381068128,0.81342024
-0.422080666,-0.699565639,0.757950262,1.924955726,0.397740584
0.159768405,0.282186313,-0.656927778,1.875675635,0.159306939
-0.215164233,-0.327304606,-0.470687543,-0.921501298,-0.641122302
-1.197702721,-1.195004109,0.165007749,1.089266075,-1.163628002
0.018105362,-0.005038073,-0.108177233,1.250058583,0.364814125
0.982704168,-0.65766047,0.289830232,-0.041730483,1.240462959
-0.263326348,-0.34463393,0.177677359,0.455375112,0.551376914
-0.609830426,0.675111668,1.264233368,0.076467963,-0.904975472
0.075475911,-1.756271111,0.347619369,-0.719762762,0.41102431
0.192871398,1.762657486,-0.906183928,-1.060131025,0.298925842
1.697831641,-0.744428554,-0.102405335,0.450873136,1.79680811
0.154194401,-1.506206058,0.586373298,-0.731921367,0.661547244
0.938833192,-0.255996723,0.238220872,1.021278519,0.70769284
-0.771877619,-0.47681113,-1.636463996,-0.661162905,-0.863750127
-0.226247974,-1.70227275,-0.018739718,0.098685472,-0.70650514
0.715891018,1.326130815,2.186548263,-0.251375404,0.767872313
-0.064563204,1.07719186,-0.642735264,-0.175057065,-0.061967065
-0.295033424,1.904364863,-2.228432159,-0.723235628,-0.022082593
0.927662609,0.742253129,0.140196186,-0.873355614,0.897771691
-0.948496309,1.014890003,-1.259161393,1.48064913,-0.666843047
-1.51964988,-2.584363053,-0.632420521,0.822925119,-1.407254568
-0.026389286,-0.318672126,1.822169447,-0.740605044,0.004503219
0.050464844,0.473726894,0.220811491,0.661013704,-0.019313215
-0.034228479,0.364350443,0.317435527,-0.937475126,0.065933662
-0.190687987,-0.259948051,-0.070379919,0.415826107,0.034950098
-0.162089998,-1.232079915,0.16402484,0.355705365,0.018523477
-1.084461942,1.361745977,-0.371915738,-1.033404828,-1.004633272
-0.44437343,-1.54643803,-1.173354508,0.682141564,-0.234214548
1.420183239,-0.117360631,0.043345544,0.107435596,1.858561908
-0.226377443,1.149187782,-0.583106471,0.546672572,-0.485560627
-1.495205285,0.307968423,1.364006549,0.148996334,-2.080413523
0.653521801,-0.248616203,1.02335914,2.27381974,0.304587959
3.447390923,0.519342979,0.563979291,0.479631889,2.816606223
1.697691621,1.640594863,-0.228269363,0.391172114,1.500796795
1.393792744,0.91117093,-1.343098807,1.891204696,1.549138576
0.246483561,-1.985653162,-1.979833535,-0.123055045,0.185324464
1.426829113,-0.864513945,0.555246596,1.277270628,1.442488234
0.31103871,-0.127081732,2.615360473,0.893004952,-0.249102497
2.161998812,-1.100492829,-0.435251814,-0.461154648,1.908409078
-0.122493302,1.064615734,0.702505866,-1.710380077,0.198376054
-0.159198807,0.319374227,-0.286829845,1.282641941,-0.343525412
-2.453188206,1.614340132,0.556929279,0.128416363,-2.319603813
0.815564858,0.972212289,0.356377565,-0.542462629,0.648799457
0.8038957,0.556895836,0.857255005,-0.625900579,1.04867384
-0.118808076,-0.496027024,0.870076871,2.222846086,0.483175988
0.220877972,-1.236511951,-0.201088699,-1.39368412,-0.369989494
0.30906767,0.656154411,-0.247446684,-0.621927473,-0.057489378
-0.336355423,-0.241035687,-0.242100395,-0.52496761,-0.001255318
0.802174873,-1.08973644,-1.504782436,-0.159678801,0.618058054
-0.121179634,1.170015806,-0.835915488,0.534225726,-0.185673844
-1.640323175,0.197657143,-0.615545484,-1.066467134,-1.807386204
1.348458663,0.124496451,-1.135321541,-0.454403246,1.505457449
0.701900107,1.585830985,0.275216726,-1.270076768,0.769374429
-0.341911098,-0.889696467,1.679536243,0.705280466,-0.160292473
0.49391901,-0.699580736,1.866360192,-0.434744784,0.624654754
3.018702898,-0.416444435,-0.170277128,0.159924879,3.39938168
0.062770944,0.858767403,-0.445849921,1.763292998,0.413265614
-0.59878054,-1.47493723,-2.581249061,1.101250515,-0.091653047
1.468815699,-1.055717062,0.572972297,-0.405996805,1.857525966
0.197214914,-0.811210012,-0.207586405,0.465495947,0.261968131
1.18270981,-0.823525147,-0.179084123,-1.209438908,1.763024269
-0.604999232,0.373299152,-1.524662069,0.522570557,-0.871645842
-1.015193533,0.620427364,1.653398356,1.142772019,-0.825362715
0.762252864,-0.112392662,-0.843114854,-0.632733478,0.611907255
-0.25488655,-1.139197901,1.012317962,-0.388033795,-0.58135089
0.592272171,-1.108821946,-1.081770757,1.321197015,0.484722936
-0.921465792,-2.076590226,1.596158719,-0.453334827,-0.818547531
0.184590222,1.332325484,1.95522099,-2.235751384,0.856468726
-1.448451432,0.2536948,0.558635805,-0.631826298,-1.152985327
0.430891564,-0.563414041,-0.340632374,-0.220863206,1.005186534
0.189354105,0.9324682,0.140065226,1.821134693,0.279577795
0.472111847,-0.062336734,2.132536253,0.15931984,-0.054594743
-0.371380183,0.091179104,-2.255358582,0.652761059,-0.573093523
0.301562606,-0.995837611,0.699266061,1.731085649,0.101417579
0.714516735,-1.316296964,1.915691635,0.165554991,0.937988913
-1.241591017,0.846239339,-1.692019877,0.684773481,-1.74248376
-0.405556436,0.19806133,0.320535878,-0.889411271,0.130295473
1.061395665,1.455491264,-0.979817809,-1.547238337,0.785288518
-2.329575834,0.254924481,-1.588906779,-0.643189103,-2.672036592
-1.422249182,-0.132370252,0.316892652,0.237274673,-1.667242363
-0.164783617,0.522327292,1.591440274,-0.804995737,-0.457491301
1.249090446,1.736718894,0.720757907,-0.453906212,1.41742793
-0.373381836,-0.52535751,0.20992944,-1.332860741,0.343600604
0.921381552,-0.198661244,0.44924324,-1.221290133,0.175528108
1.299314534,-0.138417113,-1.128625291,0.852842792,0.929063998
0.581867619,0.086037746,-0.459207441,1.36975306,0.175644606
0.449104411,-0.778296951,1.615035571,0.503195568,0.461352253
-1.831803535,-0.522041999,1.044434704,0.116752528,-2.071700416
-0.54400167,-0.224662061,0.430234271,0.332820041,-0.950505068
-0.289045704,0.112863298,-1.541551138,-0.283396576,-0.49771153
-2.49261384,1.360742465,0.095667739,-0.940298157,-2.156716476
-0.061678575,-0.089488462,-0.360052932,0.276943687,-0.461935408
0.386739189,0.572119606,-1.149164935,2.310422092,0.038278474
-0.291389892,-0.540716397,0.549450524,-0.60412838,0.001247217
0.048710527,0.079055858,-1.626176196,-1.256904751,0.553398945
0.031328545,0.646309017,-0.530973465,-0.916112584,0.083800083
