Duodecimates,Berynium,Chelonium,Rebellium,Naqahdah
-0.594839418,-0.621420828,-0.04274568,1.730816525,-0.074257043
-0.472586139,0.346857544,0.242474804,2.679226655,0.66080605
1.252406826,0.938329782,1.220067899,0.205031133,1.021652653
1.194293035,0.382587137,0.351237897,0.220071797,0.184017632
-0.449505922,1.048860873,0.785898258,-0.04784227,0.808261679
-1.398996662,-1.132421558,-0.921688728,0.061365223,-1.253121729
0.669234333,0.12056769,-0.332342173,0.529934225,-0.105791333
1.410412555,-0.127699015,0.310452684,-0.349173779,0.47418587
-0.895026248,0.194303191,0.197240878,-1.254981762,0.082883556
0.546612005,1.398234494,0.631419727,1.341748383,1.532394619
-1.381384595,1.389080062,0.99716029,-0.475038679,0.736005544
-0.226608909,-2.181958137,-1.225363642,-0.298678337,-1.789671054
-0.719583906,2.751181981,3.078198253,0.496808522,2.902288179
0.447168564,-0.380028392,-0.485967419,0.216678582,-0.3986235
0.710912818,-0.270151172,0.14752717,-1.524061853,0.48319532
-1.181513078,-0.786067415,-0.291140634,-1.167511739,-0.734111488
0.113540697,-1.104052179,-1.046310543,0.301320093,-1.38077013
1.396301569,-1.176400065,-1.113703878,-1.226664779,-0.851581823
1.535306957,-0.252201404,-0.639332881,0.698811902,-0.98525803
1.317348526,-1.093669994,-0.885879218,-1.224318254,-1.062792357
1.527828478,0.067574166,-0.675333327,-1.308476452,-0.356938258
0.181303478,-1.054430484,-0.752087779,1.625319517,-0.697151997
-0.725937178,-1.047477881,-0.968260664,-0.952617504,-1.438796528
1.772473626,0.687403747,0.26942523,1.217617073,0.500076941
-0.061501082,0.187415096,0.290325924,-0.449894137,0.014202005
0.714336854,1.450418789,1.203328105,0.076185631,1.146107161
1.43652113,-0.34713312,-0.393322531,0.388217268,-0.311260014
-0.230885273,-0.415774719,-0.465629589,-0.761308123,-0.396545012
-0.757177998,1.717953943,1.860815938,-0.497039475,1.859592085
0.858531382,0.634712084,0.759899549,-1.152980397,0.988655939
0.597678457,-0.045332134,-0.208930958,0.974610188,-0.016135006
0.613393627,-1.184234767,-1.778663411,0.960367137,-1.337068042
1.638243273,-0.980165256,-0.472359728,-0.290060599,-0.79768103
-1.354184109,-0.957324074,-0.902117323,1.202196525,-0.982182532
-1.482118355,-1.10050041,-0.908789409,-0.769904016,-0.756997492
-1.076650833,1.117794114,1.174039343,1.035201873,1.272420314
-1.358455924,-1.281896884,-1.286044922,-0.801016034,-1.254983358
-0.301232126,0.817335962,0.38425094,0.954581801,1.046864375
0.919151387,-1.201389437,-0.449757723,0.2129662,-0.65593806
0.103627077,0.937629973,1.482966449,0.102196852,0.897905799
0.304356647,-2.328946041,-2.355116477,-1.4516577,-2.481995114
0.656420429,0.140942074,-0.123793637,-0.502590024,0.160536815
0.310435989,-1.04337946,-0.731738946,1.305009387,-0.724546774
1.160665873,0.740318062,0.76832907,0.142821067,1.154722805
-0.678289036,-2.013198869,-2.380014995,-0.614283426,-2.454755769
-0.824972294,0.202857105,0.548595349,-0.631240015,0.292432139
0.024725704,-0.885137734,-0.905797518,-1.116530176,-1.104722239
0.441070064,-0.580336848,-1.461000348,0.066945152,-1.245693858
-0.953700983,-0.63113656,-0.574230813,0.949531674,-0.354158368
0.27814724,-2.216725879,-1.584542228,-0.039905818,-1.93305751
-0.497257546,2.12979852,1.823023962,0.80502831,2.004091578
0.50727572,2.397002376,2.438420708,0.336287628,2.367432398
-1.202905173,0.404334323,0.708845199,0.081818015,0.27122766
0.904059882,-1.36114734,-0.424353931,-1.895715491,-0.773904902
0.808623658,0.060323472,-0.445954811,-1.050103504,0.242022968
-0.268862493,0.358626906,0.965537265,0.13913337,0.602938904
1.612883434,1.534376309,1.229934448,-0.769247361,1.259070697
0.060509406,0.120168226,0.415354951,-0.768264186,0.527455294
-0.530037448,0.653146026,0.163691683,0.99978086,0.4596223
-0.361206982,0.870802533,0.483891709,-0.527533436,0.974360654
-0.294145668,-1.253858342,-1.548924226,-0.499027451,-1.294636218
-0.19639494,-0.576054013,-0.355816656,-0.225333012,-0.781504837
-0.006255286,1.482183855,0.838317909,0.723405848,1.336264159
-0.286924631,1.799991258,1.427341699,0.429698817,1.766334278
-0.239272556,-0.257849396,-0.620696256,-0.24429971,-0.724583935
-0.464132267,0.215997842,0.750468256,1.998380077,0.670301981
3.248449521,0.234700943,0.645889141,-0.650257728,0.537662554
0.362617762,1.108798023,1.012086646,-0.319420435,0.945371547
0.238452069,0.53645785,0.328821658,-0.068193089,0.79955317
-1.635131298,0.224820717,0.189569855,-0.186481222,0.104730472
0.845183642,-0.747604343,-0.84181221,0.931635415,-1.003159833
-1.782179396,1.998440888,3.645859535,0.887644914,2.619911058
-0.911872707,0.802795793,1.217906451,0.167723909,1.141547543
1.570037361,-0.093549105,-0.399471644,0.824285121,-0.44612703
0.15621448,-0.213081875,0.200068938,0.218125003,-0.171912469
0.314865535,0.120586325,0.325169864,1.242238955,0.515218869
0.890811041,-0.071640888,0.387635835,-1.350505099,0.621929539
-0.848518424,-0.855767137,-1.127470295,-0.614820208,-0.961918874
2.492837208,0.278743281,0.296849329,0.532629146,0.422137346
0.288200921,1.191985243,1.090475918,-1.379865523,0.912358223
-0.243335384,1.335224437,1.188482826,-0.411807742,1.254003354
0.916287979,-0.995011994,-0.552576636,-2.508403272,-0.793030375
1.468839908,0.557922799,0.712401415,0.957468373,1.151914772
-0.356141849,-0.43551632,-0.352522846,-0.316271087,-0.560687063
1.145411392,-0.9135289,-1.224864603,1.82141163,-1.126560969
0.360006032,0.199202609,0.099354412,0.433408455,0.096061397
-0.128695086,0.714672802,1.037804104,0.333575494,0.437331408
-0.293396999,0.745436799,0.48723394,-0.604278605,0.58028794
-0.156761173,0.508945345,0.355154,0.20092021,0.804398586
-0.382944625,1.358703062,1.493075504,-0.551651194,1.721792652
-1.69821349,-0.988479179,-0.435808147,-1.169880393,-0.676874438
-1.106963755,-0.000662213,0.242629288,-0.728393414,-0.097508413
0.60940938,2.416358056,2.70994561,0.1386526,2.498479278
-2.766990964,0.579640521,0.265888135,1.928193407,0.349692383
0.847268226,0.241819677,0.009809324,0.207835675,0.487845745
-1.995528399,-0.060810411,0.400057306,-0.567535083,-0.084206383
0.96156368,0.483315539,1.007504416,0.190329502,0.568190273
