Arenak,Duranium,Jerktonium,Gaulau,Runite
-0.000443362,-0.143933942,-0.124676671,-0.896286486,0.701064165
0.685110334,0.678523341,0.557271834,-0.667361725,-0.525729848
-0.449667043,-0.529808759,-0.041058578,-0.994710294,-1.233979782
-0.185910551,-0.08830049,-0.310446153,-1.834613049,0.385064835
0.763512911,1.001160737,0.668405118,0.614603052,-1.076662962
-0.07237085,0.271494378,0.096584127,1.388365847,1.417299158
-0.327582254,-0.12139263,-0.480995523,1.109232334,-0.130078723
0.874304737,0.651068969,0.28383083,0.661438618,-2.382454525
-0.355152782,-1.189458474,-0.770790375,0.442563379,0.2215196
-1.466219286,-0.734590066,-0.668607517,1.011122113,2.07556932
0.172379875,-0.00750148,-0.380159298,2.109341693,0.292367667
0.310183099,0.507051061,0.297705088,0.012684218,1.659594811
-0.306010467,-0.975671064,-0.583358352,-0.093406761,-0.728339044
-0.755033046,-0.879092968,-0.642902514,-0.343703347,0.903848063
2.286301987,1.328538666,1.422933968,-0.177556568,-0.365038389
-1.519179164,-1.681996901,-1.922841453,1.091647382,-0.588819666
0.661201095,1.021631675,1.11744757,1.672240142,-0.250531226
-0.104954158,0.087152026,-0.016091789,2.182351724,0.941637372
-1.675582457,-1.406873185,-1.509004089,-0.680028202,-1.265604941
1.198561748,0.893123797,0.915926711,0.831215787,0.634556269
-0.5106416,-0.009912212,-0.242960535,0.904970668,-0.963551109
-1.339941944,-1.450957644,-1.085837199,-0.464092548,1.382083535
1.044512399,0.442161554,0.848606604,0.677453528,0.057535013
-0.081117651,-0.148135466,0.007226631,-0.693969805,0.950833407
-0.649763576,-0.504971494,-0.302275383,-1.155341238,-0.928346325
-2.33188692,-3.011129013,-2.708030732,-1.147308145,0.446802845
-0.10353113,-0.198138326,-0.477235357,1.20726944,0.682585958
-0.951242163,-0.755415053,-1.074739453,0.301656577,0.95555103
0.586547774,0.332692258,0.563453079,0.94985971,1.363446947
-0.136603254,-0.054980002,-0.406957364,1.072665302,1.01922668
0.686812908,0.211563793,0.611513461,-0.233921509,0.427979509
0.296838476,0.814598461,0.221350331,1.290403455,-2.027950659
1.640966164,1.062059627,1.65252307,-0.890268768,-0.359790595
2.768549138,1.950396104,2.608367189,-1.68296346,1.228817867
0.752158168,0.572736555,0.633647531,1.132286715,0.63907527
-0.318742511,0.432945538,-0.349749596,1.142593685,0.767365736
0.451511964,-0.203470783,0.020737463,0.014740223,0.746992904
0.842177985,0.731991086,0.889811323,-0.923721672,1.461232447
-1.198214032,-0.979840005,-0.784996392,-2.249554809,0.204920218
-0.26023462,-1.200864421,-0.380404281,0.126758805,1.665231181
-1.07914296,-1.058190635,-1.230689264,1.394108297,0.111234292
-1.206848522,-0.346170506,-0.791306882,-0.176602082,-0.277544616
-0.4329148,-0.663778647,-1.013460233,0.598985984,1.023886641
0.164718324,-0.268071216,0.259137815,0.17476463,-0.224983887
