Byzanium,Redstone,Corrodium,RadiumX,Dust
0.424585374,0.382519703,0.695652731,0.305574223,3.260773945
0.642044989,-1.726601915,-1.348997293,-1.632669257,0.317542179
-0.508917236,0.285540572,-0.650915487,-0.629960394,-0.631136078
-1.569037824,-0.557314692,-0.598205176,-1.260332865,0.822686477
0.33932877,-0.043335676,-0.023996225,-0.306371101,-1.487218782
-1.180467122,1.118142001,0.565951088,0.727580095,0.884728995
0.814890658,-0.61294065,0.100875576,-0.573969048,-0.249218833
-1.253872857,0.753911774,0.660922023,0.826290997,-0.444690965
0.479954413,0.22616977,0.72047639,0.071165896,0.900105556
-0.594592216,-0.218050319,-0.017952672,-0.206573597,1.327334125
-1.255938032,0.485843508,0.067840185,0.260832214,-0.2830586
0.614548846,0.462622586,0.632586934,0.148371048,-0.398624764
0.512164396,0.127562703,-0.05319637,0.200865248,0.26388741
0.093876033,0.291524165,-0.022413626,0.30147671,0.540170701
1.468056813,-0.041537802,-0.610655659,-0.476682679,-0.470333683
1.352800427,0.001481172,-0.146618804,-0.310512978,-0.348971369
1.306456167,-0.285751666,-0.293564804,-0.329875651,0.195144632
-1.088739941,0.062704441,0.770688297,0.139912917,0.013795541
0.418114733,2.060277756,2.118575068,2.014352836,0.23544154
-0.539881134,1.57778907,0.834313381,0.923407274,-1.391889946
-1.785095151,-0.666968068,-0.947294956,-0.635330209,0.538407016
1.361547952,-1.028071934,-0.776046036,-1.081112345,-0.257792719
0.781118957,-0.622266848,-0.56635387,-0.716799739,-0.51598235
0.97789271,1.125452129,0.790284297,1.308299796,0.435182991
-0.064964231,-2.753782822,-2.10955527,-2.470756812,-0.896002292
-0.481320401,0.585548441,0.866439206,0.786680228,-0.827768002
0.062380784,-0.49687603,0.140023854,-0.029668276,-0.638942829
-0.023425105,0.509733889,0.917264281,0.851379926,-1.18355657
-0.681815481,-0.052652902,-0.260845272,-0.388314384,0.448209098
-1.373907199,-0.063954392,1.085395459,0.531877933,-0.369729823
0.880866334,-1.151451036,-0.707408807,-0.878410255,-1.305744761
-0.799198875,0.265009561,-0.190871011,-0.089692802,-0.334198167
-1.46204478,-0.41416639,-0.332952201,-0.195708788,1.648657283
-1.136521243,-0.57687327,-1.542252555,-1.496410708,2.97012622
1.935017079,0.044213378,-0.718703818,-0.415387235,-0.098732243
-1.144801412,-0.655314,-0.57802009,-0.965436385,0.596169481
-0.833272531,0.448065553,0.482066869,0.201797025,-1.605238738
-0.620682381,0.710787905,0.541094147,0.926443944,0.241574513
-0.227682908,-0.437660659,-0.127985831,-0.15208422,0.050447374
-0.322076394,-0.675990419,-0.563152713,-0.463742747,-0.088835904
-0.378701728,1.103920375,0.607963896,1.118538729,1.204124969
-1.073706287,1.071678756,0.876769691,1.392255354,0.367176462
-0.505621417,0.355905258,0.999214433,0.708405779,0.89550326
-0.291633106,-0.925163406,-0.378987998,-0.780151065,0.64642524
0.589688929,0.937976813,1.57276809,1.119575641,-0.152538318
-1.797354864,0.926859117,-0.2389125,0.769354424,-0.633303668
1.04446537,-1.571837292,-1.05226115,-1.656604667,0.179446511
1.834409277,0.001598275,-0.253958123,-0.059126382,-1.012664683
-0.107068742,1.101893982,1.098199669,1.146881658,0.787881206
-0.334776959,-2.127345487,-1.062399852,-1.754701746,-1.333005119
-0.275325165,-1.011092094,-0.967650492,-0.97827639,-1.410423369
0.572247101,-1.343659191,-1.051125645,-1.043763696,0.619536834
0.911159826,0.714626288,0.006555537,0.146221778,1.806654591
1.096799903,0.562087613,0.096001847,0.472904778,-0.5306179
1.571918163,-1.938865368,-2.002616838,-1.955578692,-0.447704006
-0.464814544,1.927151293,0.883458247,1.429689714,0.430237739
1.098477143,0.55577799,0.253044639,0.700761646,-0.198194412
-1.228930345,-0.503345109,-0.836467176,-0.742882079,-0.967333003
0.204498205,-0.680205871,-1.03598422,-1.1265194,1.17667453
-0.168882001,0.83591399,1.115729887,0.847438177,-0.362743292
0.414300935,-0.08359155,-0.382854018,-0.200884213,-1.505774857
-2.072333791,-0.141077178,-0.013112153,0.340841752,-0.983041608
0.464743208,-0.113926888,-0.268327119,0.010430888,0.080153543
0.9306269,-0.212203739,0.069037917,-0.078145898,1.44189766
0.396564461,0.034536676,-0.290970855,-0.094191958,-0.817308118
-0.607165116,-0.535836216,-0.200085869,-0.304546569,-0.19472031
-0.523845258,-0.930674109,-0.123761261,-0.550867765,-1.065755649
1.445090869,0.241985287,-0.326864636,0.459118735,1.698103235
1.490539477,0.430208579,0.181026173,-0.069965163,-1.873410782
0.78793632,-1.441369896,-1.27176026,-0.957872352,0.639095884
1.1388405,1.794870584,1.661772306,1.820272294,0.655987911
-0.33407996,0.193004594,-0.38710201,0.15214088,0.041204429
0.65389324,-0.413003988,-0.146314626,-0.553963562,-0.24116839
-0.736778106,-1.106342401,-0.396014249,-0.889040926,-0.884334607
-0.377392993,1.829826578,1.220799655,1.406186473,0.2023
0.312033251,-0.159289955,-0.660193787,-0.492315881,0.664552806
-1.11340031,-0.60090199,-0.220788987,-0.687865892,1.446048366
1.502137544,-1.055814278,-0.819106532,-0.815801099,1.054826734
-0.515171289,0.414542693,0.324092534,0.809941971,-0.041856085
1.312568684,1.161950449,1.953418372,1.081707331,0.670216579
0.308054352,-1.12141921,-1.394413314,-0.998229027,-1.56723646
0.238292325,0.65248558,0.74979761,0.936925152,-0.352440924
-0.773123906,-0.436658562,-0.24938547,-0.337696288,0.039254638
0.598193901,1.618926514,1.582258586,1.503948245,0.936271447
0.430666379,-1.808562257,-1.321977297,-1.792440985,1.208605792
0.581602016,0.530471431,0.421739591,0.247551198,0.868347748
2.649898876,-0.773532989,-0.526866853,-0.730487711,-0.761928683
0.346456679,0.557662833,-0.109753156,0.301655854,0.966734316
1.08767757,0.269977384,0.630372122,0.613716166,-0.263331036
1.156289522,0.185906964,0.175078709,0.02734125,1.297273432
-0.16960966,0.36450795,1.045501905,0.518958835,0.024224666
0.605994152,-1.568782551,-1.256831482,-1.18605844,0.360071828
0.675893747,-1.138340099,-0.331507719,-0.773956371,0.010298032
0.67215377,-1.071029808,-0.697206076,-0.456873195,0.433530662
-1.004042814,1.411748879,1.916968035,1.717826692,-2.237179043
-0.873019978,1.443590958,1.958344375,1.804132451,1.502735786
1.976760532,0.022201095,-0.176559817,-0.537743109,1.149979902
0.311010861,-1.055863481,-0.87718345,-0.949216413,-0.776283492
0.007740538,-1.565290264,-0.839858299,-1.39010124,1.006361425
-1.695817706,-1.084646858,-0.505081082,-1.043433431,-1.971022388
