ID,Embodied,Cog,Dimension,FileNum,Expected,TrialNum,Result,Correct,ResponseTime
1,non,2,3,35,Duranium&Kyber&Silverstone,1,Duranium&Kyber&Silverstone,True,41.66624
1,non,2,3,22,Aether&Duranium&Kyber,2,Aether&Duranium&Kyber,True,11.94674
ID,Embodied,Cog,Dimension,FileNum,Expected,TrialNum,Result,Correct,ResponseTime
ID,Embodied,Cog,Dimension,FileNum,Expected,TrialNum,Result,Correct,ResponseTime
ID,Embodied,Cog,Dimension,FileNum,Expected,TrialNum,Result,Correct,ResponseTime
ID,Embodied,Cog,Dimension,FileNum,Expected,TrialNum,Result,Correct,ResponseTime
ID,Embodied,Cog,Dimension,FileNum,Expected,TrialNum,Result,Correct,ResponseTime
ID,Embodied,Cog,Dimension,FileNum,Expected,TrialNum,Result,Correct,ResponseTime
ID,Embodied,Cog,Dimension,FileNum,Expected,TrialNum,Result,Correct,ResponseTime
ID,Embodied,Cog,Dimension,FileNum,Expected,TrialNum,Result,Correct,ResponseTime
ID,Embodied,Cog,Dimension,FileNum,Expected,TrialNum,Result,Correct,ResponseTime
ID,Embodied,Cog,Dimension,FileNum,Expected,TrialNum,Result,Correct,ResponseTime
ID,Embodied,Cog,Dimension,FileNum,Expected,TrialNum,Result,Correct,ResponseTime
ID,Embodied,Cog,Dimension,FileNum,Expected,TrialNum,Result,Correct,ResponseTime
ID,Embodied,Cog,Dimension,FileNum,Expected,TrialNum,Result,Correct,ResponseTime
ID,Embodied,Cog,Dimension,FileNum,Expected,TrialNum,Result,Correct,ResponseTime
ID,Embodied,Cog,Dimension,FileNum,Expected,TrialNum,Result,Correct,ResponseTime
ID,Embodied,Cog,Dimension,FileNum,Expected,TrialNum,Result,Correct,ResponseTime
ID,Embodied,Cog,Dimension,FileNum,Expected,TrialNum,Result,Correct,ResponseTime
