Aether,Duranium,Kyber,Ruinite,Silverstone
-2.352765003,-1.603193757,-1.413882879,-2.132311717,-0.80159144
0.27258592,0.282455516,-0.061881041,0.886864103,0.53290596
-0.047580328,0.770884049,0.80361312,0.75762048,-0.696468446
0.584647604,0.354982254,0.351193875,0.485397831,0.073213382
0.137332589,-0.075620767,0.295965355,-0.369095103,2.077337603
-1.019702559,-0.973864266,-0.56814119,-0.30909486,0.919081804
1.221552825,-1.353089168,-1.260872101,-1.512662424,-0.248108336
-2.033129646,0.127116149,0.31393972,0.607774316,0.574241834
-0.737890422,0.676781727,0.623338719,0.252579003,0.772782796
-0.199482975,1.592220845,1.411956405,1.420583303,-0.214068725
0.748995184,1.345307602,1.118223514,1.506197491,0.098362329
-2.383091491,-0.472936084,0.130705781,-0.742847275,1.208849193
0.186853105,-1.416234609,-1.30047458,-1.10305236,0.815439291
0.068097252,0.357976109,0.456364033,0.086543173,0.234000336
-0.008149536,-1.303840081,-0.962526912,-1.647859159,-1.799513801
-0.153909707,-0.300024071,-0.446549141,-1.011741197,0.135442478
-0.113682314,0.774880679,0.658183988,0.617566649,0.36185164
1.138678216,1.03830522,1.118097658,1.220756944,-1.248251633
-0.525990559,0.201921303,-0.111651263,-0.124060408,1.441571224
2.076906806,-0.714513987,-0.46115934,-0.426533166,1.509551854
-0.974849578,-0.297952768,-0.344182303,0.179383294,1.272444141
0.268193427,0.295659806,-0.119189582,0.201608137,0.548684698
0.038090035,-0.475989289,-0.411531554,-0.335301371,1.028240666
1.026727719,0.156664203,0.380732762,-0.254565807,-1.683462058
0.442567899,1.59220149,1.650198624,1.954686079,-1.475381408
1.071122802,0.860233749,0.78049274,0.987587751,-0.99119771
0.910852445,-0.932627951,-0.986910682,-1.221491904,0.158728248
0.155291633,0.065397114,0.359701199,0.328099081,1.143038673
-0.426641399,-0.763016866,-0.613068184,-0.468674322,-0.774670806
0.061178696,1.328661443,1.022979553,1.964762237,-1.312470078
0.114460694,1.332051272,1.593390681,1.38757042,-2.360544031
-0.91484099,-1.051591439,-0.876943524,-0.827911843,0.975940776
-0.1787405,-0.93171852,-1.245009831,-0.867973344,0.775469564
1.733482649,0.032417871,0.370125932,0.003715277,-0.494728752
0.343969802,-0.653842786,-0.633132755,-1.311466193,-0.862057425
0.5100937,0.445438676,-0.177463254,0.209020551,0.715448601
0.24707362,0.852623691,0.841390258,0.773995247,1.709082184
-0.801846583,1.4962053,1.430458709,1.636381105,0.854200404
-0.122289962,0.573234744,1.010309657,0.263820381,-0.238708937
-0.053419621,-0.785422345,-1.103244296,-0.644548108,0.362591362
0.866061097,-0.572434088,-0.259899957,-1.244504054,0.213137505
-1.206992643,-0.821270705,-0.650668636,-1.159112447,0.717727204
-1.416062779,-1.437213003,-1.245849692,-1.073467598,-1.299430029
-0.463060869,-0.716560975,-0.699374678,-0.454891545,-0.44254688
-0.171979951,0.384619743,0.393887616,0.467071344,-0.581011119
-0.757134783,-0.365003647,-0.880644767,-0.232554106,0.148349091
-0.011977124,-1.398578045,-1.091834342,-1.778783516,-1.072231764
-1.780574522,-0.275352419,-0.702281242,-0.197227424,0.127889378
-0.275178141,0.408600419,0.204964679,0.183501459,-1.3094855
0.714827512,-0.160809461,-0.503510272,0.248254583,0.283448278
0.031806012,-1.766496457,-2.411260681,-1.624615376,-0.916790895
-0.092894052,1.027631143,1.109138682,0.87703383,-0.298761798
-0.310809295,0.169067141,0.048255407,-0.354162282,-1.197338366
-0.029603692,0.93044873,0.999787753,0.856794206,1.294829758
-0.653054684,-0.355919689,0.167486915,-0.395754385,-0.854603498
-0.103210518,-1.011633226,-0.970459481,-1.030677365,0.714775047
-1.55653974,-0.151962194,-0.137682915,-0.650317995,-0.333606616
1.554583897,-0.349556931,-0.263791272,-0.697832126,-0.53554041
2.597710718,2.198805997,2.154726612,2.140879518,1.733886642
-1.655434478,0.407776845,0.306475345,0.528574111,0.208052661
-0.382912429,0.600248651,0.288472573,0.45633174,-0.027544078
-1.236474131,0.346284943,0.325147994,0.814520262,-0.595693466
-0.769751708,0.65825333,0.394083001,-0.006597404,0.936789409
-0.462972492,0.03695195,-0.018018706,0.243215961,-0.260038639
0.405383388,0.077364428,-0.140348463,0.18760419,0.119186751
-0.530670824,-0.029004155,-0.200760757,-0.134041261,0.178096557
1.778486297,0.289735741,0.221173207,-0.956402077,-0.399238501
1.023082106,0.630728263,0.339306454,1.411419612,0.968501234
