Aether,Duranium,Kyber,Ruinite,Silverstone
0.438017013,-0.36405481,-1.1448265,0.685794667,-1.234390618
-0.530980576,0.922743202,0.501924817,-1.014099377,0.281058552
0.377618178,-1.089242664,-0.452436634,0.313813761,-0.757172596
0.204714348,-0.23305725,0.228608357,0.459258782,0.318599453
0.374157201,0.271409195,-0.144024791,0.756291809,0.255145219
-0.888532051,1.43853678,3.752536676,-1.007714011,0.123705571
-0.830329644,-0.588323459,1.226949736,-0.389994743,0.154585683
1.862981447,-0.065296706,1.577069148,1.744432677,-0.761290638
-2.092409765,0.772537508,0.434616481,-1.948335441,-1.331657171
0.410489199,-1.842362361,1.008598494,0.413965366,0.958864332
1.206768148,-0.152082339,0.623795133,1.435819006,0.8953715
-2.326680865,-1.299999233,1.197002371,-2.108872843,-0.943254808
-0.12396561,-0.604446509,-1.422392361,-0.253909796,0.676681366
0.257472182,1.271325076,-0.830702309,0.310815984,-0.380165257
0.820223244,0.374103739,1.60614343,0.853997147,-2.619193859
0.206887073,-0.297882642,0.829463872,0.030810611,1.415620975
0.726588892,-0.741494084,-0.429377927,1.173299101,-1.274430411
0.283547433,1.022367008,-0.622237519,0.342393973,-0.09548179
-0.349533195,-1.215643516,0.666852101,-0.099891323,1.546277767
1.828702233,-0.76151593,0.274805146,1.174503701,1.456589449
1.111161486,0.06791489,-1.345043673,1.407823518,-0.30417264
2.402958851,0.146805791,-0.489242048,2.639161913,-0.987570453
1.806109474,-0.441662091,-0.140626583,1.450180232,-0.084957771
1.665864525,-0.464360028,-0.365594549,1.873707648,-1.201329276
0.929237821,-0.287341307,-1.207358109,0.425865745,-1.062213914
0.595664069,1.221360688,0.056531697,0.163121209,-0.797051916
-1.640725218,0.954134718,1.583930342,-1.678773841,0.488096402
-0.572414008,1.860963359,-1.220653504,-0.270643425,-0.810370319
-0.326574462,1.069077429,1.077331662,-0.8168464,-0.47391528
0.253801384,-2.063256504,1.977869101,0.534428383,-0.8808935
-1.112113021,-0.251002422,-0.840557955,-1.376812596,0.326722294
0.568010092,-2.330510982,-0.370224791,1.266955321,0.764300883
